,Comunicacao,Criticidade,Reflexao,NOME_CURSO
1,5,6,5,História (Licenciatura)
2,6,6,6,História (Licenciatura)
3,6,6,6,História (Licenciatura)
4,6,5,6,História (Licenciatura)
5,3,6,5,História (Licenciatura)
6,5,3,5,História (Licenciatura)
7,6,6,6,História (Licenciatura)
8,6,6,6,História (Licenciatura)
9,5,6,6,História (Licenciatura)
10,6,5,5,História (Licenciatura)
11,6,6,6,História (Licenciatura)
12,6,5,6,História (Licenciatura)
13,4,5,5,História (Licenciatura)
14,5,6,6,História (Licenciatura)
15,5,5,5,História (Licenciatura)
16,6,6,6,História (Licenciatura)
17,5,5,5,História (Licenciatura)
18,4,5,5,História (Licenciatura)
19,5,NA,5,História (Licenciatura)
20,6,6,6,História (Licenciatura)
21,6,6,6,História (Licenciatura)
22,6,6,6,História (Licenciatura)
23,6,5,6,História (Licenciatura)
24,5,5,5,História (Licenciatura)
25,5,4,6,História (Licenciatura)
26,6,5,5,História (Licenciatura)
27,6,6,6,História (Licenciatura)
28,4,4,4,História (Licenciatura)
29,6,6,6,História (Licenciatura)
30,6,6,6,História (Licenciatura)
31,5,6,6,História (Licenciatura)
32,6,6,6,História (Licenciatura)
33,4,5,5,História (Licenciatura)
34,6,6,6,História (Licenciatura)
35,6,6,6,História (Licenciatura)
36,5,5,6,História (Licenciatura)
37,4,6,6,História (Licenciatura)
38,6,6,6,História (Licenciatura)
39,6,6,6,História (Licenciatura)
40,6,6,6,História (Licenciatura)
41,4,4,5,História (Licenciatura)
42,6,6,6,História (Licenciatura)
43,5,6,6,História (Licenciatura)
44,3,4,4,História (Licenciatura)
45,6,6,6,História (Licenciatura)
46,6,6,6,História (Licenciatura)
47,4,5,5,História (Licenciatura)
48,6,6,6,História (Licenciatura)
49,6,6,6,História (Licenciatura)
50,6,5,5,História (Licenciatura)
51,5,5,5,História (Licenciatura)
52,5,5,5,História (Licenciatura)
53,5,5,5,História (Licenciatura)
54,6,6,6,História (Licenciatura)
55,6,6,6,História (Licenciatura)
56,6,6,6,História (Licenciatura)
57,6,6,6,História (Licenciatura)
58,6,6,6,História (Licenciatura)
59,2,4,5,História (Licenciatura)
60,4,5,5,História (Licenciatura)
61,3,1,2,História (Licenciatura)
62,6,5,6,História (Licenciatura)
63,6,6,6,História (Licenciatura)
64,6,6,6,História (Licenciatura)
65,5,6,6,História (Licenciatura)
66,6,6,6,História (Licenciatura)
67,6,6,6,História (Licenciatura)
68,6,6,6,História (Licenciatura)
69,6,6,6,História (Licenciatura)
70,6,5,6,História (Licenciatura)
71,5,5,5,História (Licenciatura)
72,6,6,5,História (Licenciatura)
73,6,6,6,História (Licenciatura)
74,4,5,6,Geografia (Licenciatura)
75,5,6,6,Geografia (Licenciatura)
76,6,6,6,Geografia (Licenciatura)
77,6,6,6,Geografia (Licenciatura)
78,5,5,5,Geografia (Licenciatura)
79,5,4,5,Geografia (Licenciatura)
80,6,6,6,Geografia (Licenciatura)
81,4,5,5,Geografia (Licenciatura)
82,5,6,5,Geografia (Licenciatura)
83,4,6,5,Geografia (Licenciatura)
84,5,5,5,Geografia (Licenciatura)
85,5,6,5,Geografia (Licenciatura)
86,6,6,6,Geografia (Licenciatura)
87,5,4,4,Geografia (Licenciatura)
88,6,6,5,Geografia (Licenciatura)
89,5,6,6,Geografia (Licenciatura)
90,6,6,6,Geografia (Licenciatura)
91,4,5,4,Geografia (Licenciatura)
92,6,6,6,Geografia (Licenciatura)
93,4,5,6,Geografia (Licenciatura)
94,6,5,6,Geografia (Licenciatura)
95,6,6,6,Geografia (Licenciatura)
96,5,5,5,Geografia (Licenciatura)
97,5,5,5,Geografia (Licenciatura)
98,6,6,6,Geografia (Licenciatura)
99,6,5,5,Geografia (Licenciatura)
100,5,6,6,Geografia (Licenciatura)
101,5,5,5,Geografia (Licenciatura)
102,6,6,6,Geografia (Licenciatura)
103,5,5,6,Geografia (Licenciatura)
104,6,6,6,Geografia (Licenciatura)
105,6,6,6,Geografia (Licenciatura)
106,6,5,6,Geografia (Licenciatura)
107,5,6,5,Geografia (Licenciatura)
108,6,NA,NA,Geografia (Licenciatura)
109,6,6,6,Geografia (Licenciatura)
110,6,5,5,Geografia (Licenciatura)
111,6,6,6,Geografia (Licenciatura)
112,6,6,6,Geografia (Licenciatura)
113,4,5,5,Geografia (Licenciatura)
114,5,5,5,Geografia (Licenciatura)
115,6,6,6,Geografia (Licenciatura)
116,5,6,5,Geografia (Licenciatura)
117,6,6,6,Pedagogia (Licenciatura)
118,5,5,6,Pedagogia (Licenciatura)
119,5,6,5,Pedagogia (Licenciatura)
120,6,6,6,Pedagogia (Licenciatura)
121,6,6,6,Pedagogia (Licenciatura)
122,6,6,6,Pedagogia (Licenciatura)
123,5,6,NA,Pedagogia (Licenciatura)
124,6,6,6,Pedagogia (Licenciatura)
125,4,5,5,Pedagogia (Licenciatura)
126,6,6,6,Pedagogia (Licenciatura)
127,6,5,5,Pedagogia (Licenciatura)
128,NA,NA,6,Pedagogia (Licenciatura)
129,6,6,6,Pedagogia (Licenciatura)
130,6,6,6,Pedagogia (Licenciatura)
131,5,5,6,Pedagogia (Licenciatura)
132,6,6,6,Pedagogia (Licenciatura)
133,6,6,6,Pedagogia (Licenciatura)
134,6,6,6,Pedagogia (Licenciatura)
135,5,5,4,Pedagogia (Licenciatura)
136,6,4,5,Pedagogia (Licenciatura)
137,6,6,6,Pedagogia (Licenciatura)
138,6,6,6,Pedagogia (Licenciatura)
139,6,6,6,Pedagogia (Licenciatura)
140,5,5,5,Pedagogia (Licenciatura)
141,6,6,6,Pedagogia (Licenciatura)
142,6,6,6,Pedagogia (Licenciatura)
143,5,5,5,Pedagogia (Licenciatura)
144,6,6,6,Pedagogia (Licenciatura)
145,6,6,6,Pedagogia (Licenciatura)
146,6,6,6,Pedagogia (Licenciatura)
147,5,5,5,Pedagogia (Licenciatura)
148,6,6,6,Pedagogia (Licenciatura)
149,6,6,6,Pedagogia (Licenciatura)
150,5,5,6,Pedagogia (Licenciatura)
151,6,5,6,Pedagogia (Licenciatura)
152,4,5,4,Pedagogia (Licenciatura)
153,6,6,6,Pedagogia (Licenciatura)
154,6,6,6,Pedagogia (Licenciatura)
155,5,5,5,Pedagogia (Licenciatura)
156,6,5,5,Pedagogia (Licenciatura)
157,6,6,6,Pedagogia (Licenciatura)
158,6,6,6,Pedagogia (Licenciatura)
159,5,6,6,Pedagogia (Licenciatura)
160,6,6,6,Pedagogia (Licenciatura)
161,6,6,6,Pedagogia (Licenciatura)
162,5,5,6,Pedagogia (Licenciatura)
163,6,6,6,Pedagogia (Licenciatura)
164,6,6,6,Pedagogia (Licenciatura)
165,4,5,5,Pedagogia (Licenciatura)
166,5,5,5,Pedagogia (Licenciatura)
167,6,6,6,Pedagogia (Licenciatura)
168,5,5,6,Pedagogia (Licenciatura)
169,5,5,5,Pedagogia (Licenciatura)
170,5,6,6,Pedagogia (Licenciatura)
171,6,6,6,Pedagogia (Licenciatura)
172,6,6,6,Pedagogia (Licenciatura)
173,6,6,6,Pedagogia (Licenciatura)
174,5,5,6,Pedagogia (Licenciatura)
175,1,6,5,Pedagogia (Licenciatura)
176,5,6,6,Pedagogia (Licenciatura)
177,6,6,6,Pedagogia (Licenciatura)
178,6,5,6,Pedagogia (Licenciatura)
179,6,6,6,Pedagogia (Licenciatura)
180,5,5,5,Pedagogia (Licenciatura)
181,6,6,6,Pedagogia (Licenciatura)
182,5,5,5,Pedagogia (Licenciatura)
183,6,6,6,Pedagogia (Licenciatura)
184,5,5,5,Pedagogia (Licenciatura)
185,5,5,5,Pedagogia (Licenciatura)
186,6,6,6,Pedagogia (Licenciatura)
187,5,5,6,Pedagogia (Licenciatura)
188,4,6,6,Pedagogia (Licenciatura)
189,5,5,6,Pedagogia (Licenciatura)
190,6,5,5,Pedagogia (Licenciatura)
191,6,6,6,Pedagogia (Licenciatura)
192,5,6,6,Pedagogia (Licenciatura)
193,4,4,4,Pedagogia (Licenciatura)
194,6,6,6,Pedagogia (Licenciatura)
195,6,6,6,Pedagogia (Licenciatura)
196,5,5,6,Pedagogia (Licenciatura)
197,6,6,6,Pedagogia (Licenciatura)
198,6,6,6,Pedagogia (Licenciatura)
199,5,5,6,Pedagogia (Licenciatura)
200,6,6,6,Pedagogia (Licenciatura)
201,6,5,5,Pedagogia (Licenciatura)
202,6,6,6,Pedagogia (Licenciatura)
203,6,6,6,Pedagogia (Licenciatura)
204,6,6,6,Pedagogia (Licenciatura)
205,6,6,6,Ciências Sociais (Licenciatura)
206,5,6,6,Ciências Sociais (Licenciatura)
207,NA,NA,NA,Ciências Sociais (Licenciatura)
208,6,6,6,Ciências Sociais (Licenciatura)
209,5,5,6,Ciências Sociais (Licenciatura)
210,6,5,6,Ciências Sociais (Licenciatura)
211,6,6,6,Ciências Sociais (Licenciatura)
212,5,6,5,Ciências Sociais (Licenciatura)
213,3,6,6,Ciências Sociais (Licenciatura)
214,6,6,6,Ciências Sociais (Licenciatura)
215,4,6,6,Ciências Sociais (Licenciatura)
216,6,6,6,Ciências Sociais (Licenciatura)
217,5,5,5,Ciências Sociais (Licenciatura)
218,6,6,6,Ciências Sociais (Licenciatura)
219,5,6,5,Ciências Sociais (Licenciatura)
220,6,6,6,Ciências Sociais (Licenciatura)
221,6,6,6,Ciências Sociais (Licenciatura)
222,5,5,6,Ciências Sociais (Licenciatura)
223,6,6,6,Ciências Sociais (Licenciatura)
224,6,6,6,Engenharia Elétrica
225,NA,NA,NA,Engenharia Elétrica
226,5,6,6,Engenharia Elétrica
227,4,5,4,Engenharia Elétrica
228,6,5,5,Engenharia Elétrica
229,5,5,4,Engenharia Elétrica
230,4,2,3,Engenharia Elétrica
231,4,3,3,Engenharia Elétrica
232,4,4,5,Engenharia Elétrica
233,6,6,6,Engenharia Elétrica
234,4,4,6,Engenharia Elétrica
235,6,6,6,Engenharia Elétrica
236,3,5,6,Engenharia Elétrica
237,5,3,5,Engenharia Elétrica
238,3,6,6,Engenharia Elétrica
239,5,3,5,Engenharia Elétrica
240,6,3,6,Engenharia Elétrica
241,4,4,5,Engenharia Elétrica
242,4,4,5,Engenharia Elétrica
243,6,5,6,Engenharia Elétrica
244,4,3,2,Engenharia Elétrica
245,6,6,6,Engenharia Elétrica
246,5,5,5,Engenharia Elétrica
247,5,4,4,Engenharia Elétrica
248,3,1,1,Engenharia Elétrica
249,5,4,5,Engenharia Elétrica
250,4,5,6,Engenharia Elétrica
251,1,2,2,Engenharia Elétrica
252,4,6,5,Engenharia Elétrica
253,4,2,2,Engenharia Elétrica
254,1,1,1,Engenharia Elétrica
255,3,5,6,Engenharia Elétrica
256,6,4,6,Engenharia Elétrica
257,3,5,5,Engenharia Elétrica
258,5,4,6,Engenharia Elétrica
259,6,6,6,Engenharia Elétrica
260,6,4,6,Engenharia Elétrica
261,4,2,5,Engenharia Elétrica
262,3,5,NA,Engenharia Elétrica
263,2,5,2,Engenharia Elétrica
264,1,1,1,Engenharia Elétrica
265,5,3,4,Engenharia Elétrica
266,6,3,3,Engenharia Elétrica
267,3,3,2,Engenharia Elétrica
268,3,3,3,Engenharia Elétrica
269,6,5,6,Engenharia Elétrica
270,5,3,3,Engenharia Elétrica
271,5,NA,NA,Engenharia Elétrica
272,4,4,6,Engenharia Elétrica
273,4,4,4,Engenharia Elétrica
274,4,4,3,Engenharia Elétrica
275,5,4,4,Engenharia Elétrica
276,3,5,5,Engenharia Elétrica
277,5,4,4,Engenharia Elétrica
278,4,5,5,Engenharia Elétrica
279,5,4,5,Engenharia Elétrica
280,5,2,5,Engenharia Elétrica
281,5,4,5,Engenharia Elétrica
282,3,6,6,Engenharia Elétrica
283,4,4,4,Engenharia Elétrica
284,5,3,4,Engenharia Elétrica
285,5,3,6,Engenharia Elétrica
286,4,4,4,Engenharia Elétrica
287,6,5,6,Engenharia Elétrica
288,3,2,5,Engenharia Elétrica
289,6,6,6,Engenharia Elétrica
290,5,3,5,Engenharia Elétrica
291,4,NA,4,Engenharia Elétrica
292,3,5,5,Engenharia Elétrica
293,6,6,6,Engenharia Elétrica
294,6,3,3,Engenharia Elétrica
295,5,5,5,Engenharia Elétrica
296,2,2,2,Engenharia Elétrica
297,5,5,6,Engenharia Elétrica
298,6,4,6,Engenharia Elétrica
299,5,6,6,Engenharia Elétrica
300,6,NA,NA,Engenharia Elétrica
301,4,3,5,Engenharia Elétrica
302,5,4,3,Engenharia Elétrica
303,6,5,5,Engenharia Elétrica
304,4,3,5,Engenharia Elétrica
305,3,2,3,Engenharia Elétrica
